Epoch,LR,Loss,Accuracy,NC1,NC2,NC3,NC4
69,0.05,0.04244796766996384,98.588,0.0902407169342041,0.1687956601381302,0.04353018707877987,0.00558000011369586
70,0.05,0.04079457450866699,98.69,0.09068548679351807,0.1680867224931717,0.041027689257379985,0.006579999811947346
71,0.05,0.0382991672873497,98.734,0.09364112615585327,0.1587756872177124,0.046516102574835294,0.007720000110566616
72,0.05,0.04109674625396729,98.648,0.08384236097335815,0.15196552872657776,0.036681482138695154,0.003019999945536256
73,0.05,0.04711809352040291,98.422,0.09668506383895874,0.17745265364646912,0.045546208936359855,0.008740000426769257
74,0.05,0.035994074968099594,98.836,0.09806998968124389,0.15767434239387512,0.034692987387627605,0.006440000142902136
75,0.05,0.038815512449741366,98.716,0.08881657123565674,0.16035935282707214,0.03406340599667956,0.00418000016361475
76,0.05,0.04007409674286842,98.676,0.1003686785697937,0.17239606380462646,0.05237993741866731,0.014340000227093697
77,0.05,0.0482223398065567,98.382,0.07844477891921997,0.16182304918766022,0.03577332216349505,0.0029800001066178083
78,0.05,0.0376482235789299,98.798,0.08701319098472596,0.16693153977394104,0.050753435787530776,0.010200000368058681
79,0.05,0.03625028929114342,98.842,0.08637732863426209,0.1682596057653427,0.04290218256728573,0.0050200000405311584
80,0.05,0.04133738238930702,98.682,0.08825695514678955,0.1610669046640396,0.04563148928925309,0.008080000057816505
81,0.05,0.03739854457855225,98.79,0.0942712664604187,0.15385016798973083,0.042871440821731,0.0052200001664459705
82,0.05,0.044787343484461305,98.518,0.10055849552154542,0.18498539924621582,0.05177104806266564,0.01278000045567751
83,0.05,0.037441820933818815,98.754,0.08721721172332764,0.15853151679039001,0.03672981511047002,0.0047599999234080315
84,0.05,0.03943733253717423,98.742,0.0868357002735138,0.15222808718681335,0.03829708626341599,0.003379999892786145
85,0.05,0.040222634060382845,98.706,0.08783258199691772,0.15888631343841553,0.040996305213394146,0.009080000221729279
86,0.05,0.04139977886915207,98.656,0.08702621459960938,0.14983561635017395,0.03570231168171767,0.004720000084489584
87,0.05,0.03572436486721039,98.868,0.09205433130264282,0.16778717935085297,0.05016218530770189,0.008940000087022781
88,0.05,0.04055678852379322,98.718,0.09048576354980468,0.15732111036777496,0.03163256000434189,0.004699999932199717
89,0.05,0.042000818580389024,98.558,0.08704975843429566,0.1639464795589447,0.03898940243885907,0.00406000018119812
90,0.05,0.03912976838350296,98.71,0.07276613712310791,0.15985092520713806,0.029410276249620892,0.0016799999866634607
91,0.05,0.03916856156587601,98.646,0.08777159452438354,0.17387798428535461,0.04778442466971544,0.007379999849945307
92,0.05,0.03915742235660553,98.716,0.0847172498703003,0.15378130972385406,0.03587172306166142,0.0026199999265372753
93,0.05,0.039937624022960666,98.684,0.07909102439880371,0.16098551452159882,0.029990145639306798,0.0031999999191612005
94,0.05,0.04152552012324333,98.618,0.10055227279663086,0.1775393933057785,0.0454132871646904,0.008100000210106373
95,0.05,0.038195947132110594,98.714,0.09277039170265197,0.16021592915058136,0.042716412904803214,0.008779999800026417
96,0.05,0.04041609163820743,98.61,0.08661773204803466,0.1649715006351471,0.04034263597590404,0.0038399999029934406
97,0.05,0.036819022998511794,98.772,0.08232938051223755,0.15815290808677673,0.034312151941488844,0.004860000219196081
98,0.05,0.03639838353931904,98.8,0.11281007528305054,0.16531836986541748,0.0440432885578288,0.009619999676942825
99,0.05,0.03980516079306602,98.712,0.0719771146774292,0.1588933914899826,0.03336662937931578,0.004720000084489584
100,0.05,0.03597335408806801,98.83,0.0759549617767334,0.15587218105793,0.03852432438681519,0.005179999861866236
101,0.05,0.042938749585151675,98.528,0.07809106707572937,0.16331104934215546,0.037695565206768755,0.0026400000788271427
102,0.05,0.035207087436318396,98.88,0.0977966845035553,0.1643432080745697,0.03965634685166841,0.00977999996393919
103,0.05,0.0407346019756794,98.694,0.08242288827896119,0.15652674436569214,0.03948848086736323,0.006599999964237213
104,0.05,0.031944839390218256,99.0,0.08402667045593262,0.15156759321689606,0.034792265720900994,0.006099999882280827
105,0.05,0.04044227513551712,98.694,0.07542865872383117,0.15776647627353668,0.0294533720273924,0.004600000102072954
106,0.05,0.0388344143474102,98.732,0.0805066704750061,0.16640540957450867,0.029450625513621986,0.004619999788701534
107,0.05,0.03778689146816731,98.78,0.08466121554374695,0.15173646807670593,0.03644279214936952,0.007319999858736992
108,0.05,0.042599280756115916,98.614,0.08661780953407287,0.16285577416419983,0.03358681416017717,0.006399999838322401
109,0.05,0.037514446707963944,98.764,0.1170656442642212,0.17571744322776794,0.03916420837770662,0.005799999926239252
110,0.05,0.039184292134046554,98.712,0.08498457670211793,0.15771886706352234,0.04307717740553252,0.011620000004768372
111,0.05,0.040994202734828,98.616,0.09052321910858155,0.17184269428253174,0.02783195167376107,0.002739999908953905
112,0.05,0.032652699815034866,98.928,0.08910169601440429,0.15576227009296417,0.03677280764158852,0.006120000034570694
113,0.05,0.03687116113245487,98.824,0.08792271614074706,0.1664879471063614,0.04082573818546842,0.003920000046491623
114,0.05,0.04057867380976677,98.664,0.08952089548110961,0.1665099710226059,0.04000468029360693,0.005880000069737434
115,0.05,0.04095710526049137,98.696,0.08754692077636719,0.15701015293598175,0.0553248873948855,0.006839999929070473
116,0.005000000000000001,0.0392596732211113,98.74,0.08330198526382446,0.16742292046546936,0.040810757638791495,0.012520000338554382
117,0.005000000000000001,0.012678300792574882,99.642,0.04220624268054962,0.14642579853534698,0.020796840945502604,1.9999999494757503e-05
118,0.005000000000000001,0.0029847968873381613,99.994,0.037530040740966795,0.14499443769454956,0.018779313365158146,0.0
119,0.005000000000000001,0.0022416769595444202,100.0,0.034430450201034545,0.14414678514003754,0.018578168662827466,0.0
